Year	|	constant	|	variable	|	profit	|	add_cc	|	add_vc	|	val_of_year_prod	|	por	|	poa	|	rop	|	occ	|	total profit	|	
1		|	200000.00	|	100000.00	|	75000.00	|	20000.00	|	5000.00	|	400000.00	|	0.75	|	0.25	|	0.33	|	2.00	|	75000.00	|	
2		|	220000.00	|	105000.00	|	75500.00	|	24000.00	|	20620.02	|	430000.00	|	0.72	|	0.42	|	0.32	|	2.10	|	150500.00	|	
3		|	244000.00	|	125620.02	|	74138.00	|	28800.00	|	22682.02	|	495240.03	|	0.59	|	0.41	|	0.34	|	1.94	|	224638.00	|	
4		|	272800.00	|	148302.03	|	88791.81	|	34560.00	|	24950.22	|	569404.07	|	0.60	|	0.40	|	0.35	|	1.84	|	313429.81	|	
5		|	307360.00	|	173252.25	|	104335.01	|	41472.00	|	27445.24	|	653864.50	|	0.60	|	0.40	|	0.36	|	1.77	|	417764.82	|	
6		|	348832.00	|	200697.49	|	120741.33	|	49766.40	|	30189.76	|	750226.99	|	0.60	|	0.40	|	0.37	|	1.74	|	538506.15	|	
7		|	398598.40	|	230887.26	|	137958.84	|	59719.68	|	33208.74	|	860372.91	|	0.60	|	0.40	|	0.37	|	1.73	|	676464.99	|	
8		|	458318.08	|	264096.00	|	155902.77	|	71663.62	|	36529.62	|	986510.08	|	0.59	|	0.41	|	0.37	|	1.74	|	832367.75	|	
9		|	529981.70	|	300625.61	|	174446.70	|	85996.34	|	40182.58	|	1131232.92	|	0.58	|	0.42	|	0.36	|	1.76	|	1006814.45	|	
10		|	615978.04	|	340808.19	|	193411.75	|	103195.61	|	44200.83	|	1297594.42	|	0.57	|	0.43	|	0.36	|	1.81	|	1200226.20	|	
11		|	719173.64	|	385009.03	|	212553.38	|	123834.73	|	48620.92	|	1489191.69	|	0.55	|	0.45	|	0.35	|	1.87	|	1412779.58	|	
12		|	843008.37	|	433629.94	|	231545.26	|	148601.67	|	53483.01	|	1710268.26	|	0.53	|	0.47	|	0.34	|	1.94	|	1644324.84	|	
13		|	991610.04	|	487112.95	|	249959.63	|	178322.01	|	58831.31	|	1965835.95	|	0.51	|	0.49	|	0.33	|	2.04	|	1894284.48	|	
14		|	1169932.05	|	545944.27	|	267243.41	|	213986.41	|	64714.44	|	2261820.59	|	0.49	|	0.51	|	0.32	|	2.14	|	2161527.89	|	
15		|	1383918.46	|	610658.71	|	282689.13	|	256783.69	|	71185.89	|	2605235.88	|	0.46	|	0.54	|	0.31	|	2.27	|	2444217.02	|	
16		|	1640702.16	|	681844.59	|	295399.69	|	308140.43	|	78304.48	|	3004391.35	|	0.43	|	0.57	|	0.29	|	2.41	|	2739616.71	|	
17		|	1948842.59	|	760149.07	|	304245.63	|	369768.52	|	86134.92	|	3469140.73	|	0.40	|	0.60	|	0.28	|	2.56	|	3043862.33	|	
18		|	2318611.11	|	846283.99	|	307813.36	|	443722.22	|	94748.41	|	4011179.09	|	0.36	|	0.64	|	0.27	|	2.74	|	3351675.69	|	
19		|	2762333.33	|	941032.41	|	304342.48	|	532466.67	|	104223.26	|	4644398.14	|	0.32	|	0.68	|	0.25	|	2.94	|	3656018.18	|	
20		|	3294799.99	|	1045255.66	|	291650.08	|	638960.00	|	114645.58	|	5385311.32	|	0.28	|	0.72	|	0.24	|	3.15	|	3947668.26	|	
21		|	3933759.99	|	1159901.25	|	267039.11	|	766752.00	|	126110.14	|	6253562.48	|	0.23	|	0.77	|	0.23	|	3.39	|	4214707.36	|	
22		|	4700511.99	|	1286011.39	|	227187.83	|	920102.40	|	138721.15	|	7272534.76	|	0.18	|	0.82	|	0.21	|	3.66	|	4441895.20	|	
23		|	5620614.39	|	1424732.54	|	168016.39	|	1104122.88	|	152593.27	|	8470079.47	|	0.12	|	0.88	|	0.20	|	3.95	|	4609911.59	|	
24		|	6724737.27	|	1577325.81	|	84525.76	|	1324947.45	|	167852.60	|	9879388.88	|	0.05	|	0.95	|	0.19	|	4.26	|	4694437.35	|	
25		|	7244716.25	|	1657919.49	|	0.00	|	1589936.94	|	184637.86	|	10647814.14	|	0.00	|	1.02	|	0.20	|	4.61	|	4778963.11	|	
26		|	7951187.87	|	1750429.47	|	0.00	|	1907924.33	|	203101.64	|	11544174.69	|	0.00	|	1.15	|	0.19	|	4.79	|	4778963.11	|	
27		|	8873200.99	|	1855854.56	|	0.00	|	2289509.20	|	2130257.89	|	12682586.66	|	0.00	|	2.26	|	0.18	|	5.05	|	4778963.11	|	
28		|	10046439.17	|	3786806.83	|	0.00	|	2747411.04	|	2343283.68	|	17819358.45	|	0.00	|	1.28	|	0.29	|	2.80	|	4778963.11	|	
29		|	12793850.21	|	6130090.51	|	255585.22	|	3296893.25	|	2577612.05	|	25054031.23	|	0.04	|	0.96	|	0.32	|	2.09	|	5034548.32	|	
30		|	16090743.45	|	8707702.57	|	1916057.41	|	3956271.90	|	2835373.26	|	33506148.58	|	0.22	|	0.78	|	0.35	|	1.85	|	6950605.73	|	
31		|	20047015.35	|	11543075.82	|	3676638.96	|	4747526.28	|	3118910.58	|	43133166.99	|	0.32	|	0.68	|	0.37	|	1.74	|	10627244.70	|	
32		|	24794541.63	|	14661986.40	|	5534153.23	|	5697031.53	|	3430801.64	|	54118514.43	|	0.38	|	0.62	|	0.37	|	1.69	|	16161397.93	|	
33		|	30491573.16	|	18092788.04	|	7482468.40	|	6836437.84	|	3773881.80	|	66677149.24	|	0.41	|	0.59	|	0.37	|	1.69	|	23643866.33	|	
34		|	37328010.99	|	21866669.85	|	9511674.46	|	8203725.40	|	4151269.98	|	81061350.69	|	0.43	|	0.57	|	0.37	|	1.71	|	33155540.79	|	
35		|	45531736.40	|	26017939.83	|	11607072.36	|	9844470.49	|	4566396.98	|	97567616.06	|	0.45	|	0.55	|	0.36	|	1.75	|	44762613.16	|	
36		|	55376206.89	|	30584336.82	|	13747935.55	|	11813364.58	|	5023036.68	|	116544880.52	|	0.45	|	0.55	|	0.36	|	1.81	|	58510548.71	|	
37		|	67189571.47	|	35607373.50	|	15905995.65	|	14176037.50	|	5525340.35	|	138404318.46	|	0.45	|	0.55	|	0.35	|	1.89	|	74416544.36	|	
38		|	81365608.97	|	41132713.85	|	18043594.46	|	17011245.00	|	6077874.38	|	163631036.66	|	0.44	|	0.56	|	0.34	|	1.98	|	92460138.82	|	
39		|	98376853.97	|	47210588.23	|	20111432.41	|	20413494.00	|	6685661.82	|	192798030.43	|	0.43	|	0.57	|	0.32	|	2.08	|	112571571.23	|	
40		|	118790347.97	|	53896250.05	|	22045829.25	|	24496192.80	|	7354228.01	|	226582848.08	|	0.41	|	0.59	|	0.31	|	2.20	|	134617400.48	|	
41		|	143286540.77	|	61250478.06	|	23765395.89	|	29395431.36	|	8089650.81	|	265787496.89	|	0.39	|	0.61	|	0.30	|	2.34	|	158382796.37	|	
42		|	172681972.13	|	69340128.87	|	25166995.35	|	35274517.63	|	8898615.89	|	311362229.86	|	0.36	|	0.64	|	0.29	|	2.49	|	183549791.72	|	
43		|	207956489.76	|	78238744.75	|	26120846.12	|	42329421.16	|	9788477.48	|	364433979.26	|	0.33	|	0.67	|	0.27	|	2.66	|	209670637.84	|	
44		|	250285910.91	|	88027222.23	|	26464591.62	|	50795305.39	|	10767325.22	|	426340355.37	|	0.30	|	0.70	|	0.26	|	2.84	|	236135229.46	|	
45		|	301081216.30	|	98794547.45	|	25996123.24	|	60954366.47	|	11844057.74	|	498670311.20	|	0.26	|	0.74	|	0.25	|	3.05	|	262131352.69	|	
46		|	362035582.77	|	110638605.19	|	24464901.92	|	73145239.76	|	13028463.52	|	583312793.16	|	0.22	|	0.78	|	0.23	|	3.27	|	286596254.61	|	
47		|	435180822.53	|	123667068.71	|	21561471.13	|	87774287.71	|	14331309.87	|	682514959.96	|	0.17	|	0.83	|	0.22	|	3.52	|	308157725.74	|	
48		|	522955110.24	|	137998378.59	|	16904792.47	|	105329145.25	|	15764440.86	|	798951867.41	|	0.12	|	0.88	|	0.21	|	3.79	|	325062518.21	|	
49		|	628284255.50	|	153762819.44	|	10026960.19	|	126394974.31	|	17340884.94	|	935809894.38	|	0.07	|	0.93	|	0.20	|	4.09	|	335089478.41	|	
50		|	754679229.80	|	171103704.39	|	354761.78	|	151673969.17	|	19074973.44	|	1096886638.58	|	0.00	|	1.00	|	0.18	|	4.41	|	335444240.19	|	
51		|	815717879.07	|	180669743.94	|	0.00	|	182008763.00	|	20982470.78	|	1186566300.83	|	0.00	|	1.07	|	0.19	|	4.77	|	335799001.97	|	
52		|	897953977.87	|	191569603.98	|	0.00	|	218410515.60	|	23080717.86	|	1291175796.56	|	0.00	|	1.20	|	0.19	|	4.95	|	335799001.97	|	
53		|	1004728044.12	|	203917805.75	|	0.00	|	262092618.72	|	25388789.65	|	1423296171.71	|	0.00	|	1.34	|	0.18	|	5.20	|	335799001.97	|	
54		|	1140138596.56	|	217841265.63	|	0.00	|	314511142.46	|	294196288.93	|	1587286457.58	|	0.00	|	2.65	|	0.17	|	5.52	|	335799001.97	|	
55		|	1309184765.12	|	486435676.83	|	0.00	|	377413370.96	|	323615917.82	|	2307657996.51	|	0.00	|	1.37	|	0.29	|	2.84	|	335799001.97	|	
56		|	1686598136.07	|	810051594.66	|	1178039.90	|	452896045.15	|	355977509.61	|	3306701325.38	|	0.00	|	1.00	|	0.32	|	2.08	|	336977041.87	|	
57		|	2139494181.22	|	1166029104.26	|	230978589.52	|	543475254.18	|	391575260.57	|	4471552389.75	|	0.20	|	0.80	|	0.35	|	1.83	|	567955631.39	|	
58		|	2682969435.40	|	1557604364.83	|	474701273.19	|	652170305.01	|	430732786.62	|	5798178165.06	|	0.30	|	0.70	|	0.37	|	1.72	|	1042656904.58	|	
59		|	3335139740.41	|	1988337151.45	|	731926720.15	|	782604366.02	|	473806065.29	|	7311814043.32	|	0.37	|	0.63	|	0.37	|	1.68	|	1774583624.73	|	
60		|	4117744106.43	|	2462143216.74	|	1001831305.71	|	939125239.22	|	521186671.82	|	9042030539.91	|	0.41	|	0.59	|	0.37	|	1.67	|	2776414930.44	|	
